,content
104,@actor_Nikhil @SakethKomanduri @BandreddiRam @_HiDigital Dummu lepe dammunna song...✊
105,"Amazing Response 🙏🏻🤩

Here’s the Lyrical Sheet of High Voltage #JanasenaniBirthday Song 💥 

➡️ https://t.co/CE7cuD42jX

జనమన్నది జనసేనకు సాక్ష్యం
మనమన్నది జనసేనకు సాక్ష్యం
నరనరమున జన సైనికులం కదరా...

A #ManiSharma Musical 🎼
@saketh_komanduri @srikrisin @hidigital_ https://t.co/x6pWRanIjE"
106,@actor_Nikhil @SakethKomanduri @BandreddiRam @_HiDigital Happy Birthday to you Pavan kalyan garu 🎂🥳
107,@Haini61739443 @TrendPSPK @SakethKomanduri @srikrisin @BandreddiRam @_HiDigital Meku idi oka raskshandam….enjoy with your sadism….
108,@actor_Nikhil @SakethKomanduri @BandreddiRam @_HiDigital https://t.co/u0zkeMsb9g
109,@actor_Nikhil @SakethKomanduri @BandreddiRam @_HiDigital Happy birthday pspk garu
110,"Here's the Much Awaited #JanaSenaniBirthday Song Out Now 🎼🥁🔊
➡️ https://t.co/yByYunaIQM

Launched by Young and Energetic Hero @actor_Nikhil 

#HappyBirthdayPSPK

#ManiSharma @BandreddiRam @SakethKomanduri @srikrisin #KrishnaChaitanya @_HiDigital https://t.co/blVWA6M9nZ"
111,"@actor_Nikhil @SakethKomanduri @BandreddiRam @_HiDigital Nice gesture bro..like our powerstar , you are also nice human being"
112,@actor_Nikhil @SakethKomanduri @BandreddiRam @_HiDigital Superrr brother @actor_Nikhil
113,"@actor_Nikhil @SakethKomanduri @BandreddiRam @_HiDigital A true follower of kalyan gaaru..
Thank you Nikhil Anna"
114,"@actor_Nikhil @SakethKomanduri @BandreddiRam @_HiDigital Birthday space ki waiting.

#HBDPawanKalyan
#HariHaraVeeraMallu  #BheemlaNayakFirstSingle"
115,@actor_Nikhil @SakethKomanduri @BandreddiRam @_HiDigital Very apt lyrics and thank you @BanreddiRam anna
116,"@actor_Nikhil @SakethKomanduri @BandreddiRam @_HiDigital That Excitement in @actor_Nikhil Face 😍
When Fanboy meets his Idol...❤️
#HBDPawanKalyan @PawanKalyan  https://t.co/CqLbLtRXr6"
117,@actor_Nikhil @BandreddiRam @SakethKomanduri @_HiDigital Lyrics cahala bagunai @BandreddiRam  sir
118,"@actor_Nikhil @SakethKomanduri @BandreddiRam @_HiDigital Thank You Nikhil Anna ❤️

#BheemLaNayak ll @PawanKalyan #HBDPawanKalyan ~ #PSPK28
 https://t.co/qK3r3wMwVJ"
119,@actor_Nikhil @SakethKomanduri @BandreddiRam @_HiDigital Great job sir
120,@actor_Nikhil @SakethKomanduri @BandreddiRam @_HiDigital Pavan sir ni cm chaistha natho oka information undhi please
121,@actor_Nikhil @SakethKomanduri @BandreddiRam @_HiDigital Nikhil anna naku okasari pavan sir kalavali chance ipisthava
122,@actor_Nikhil @SakethKomanduri @BandreddiRam @_HiDigital Super
